wavelength,0.2 c,0.4 c,0.6 c,0.8 c,1.0 c
567.00,0.044384,0.098489,0.152194,0.217350,0.268097
566.00,0.044022,0.096963,0.150008,0.213788,0.263916
565.00,0.043508,0.095593,0.147948,0.210690,0.259569
564.00,0.042786,0.094252,0.145205,0.207166,0.255437
563.00,0.042093,0.092473,0.143108,0.204180,0.251110
562.00,0.041300,0.091414,0.140694,0.200489,0.246988
561.00,0.041143,0.089420,0.138427,0.197334,0.242848
560.00,0.040209,0.088080,0.135905,0.193574,0.238847
559.00,0.039575,0.086953,0.133733,0.190334,0.234809
558.00,0.039022,0.085254,0.131411,0.187304,0.230725
557.00,0.038429,0.084165,0.129624,0.184150,0.227113
556.00,0.037956,0.082635,0.127010,0.180506,0.222502
555.00,0.037333,0.081401,0.124790,0.177475,0.218409
554.00,0.036580,0.079562,0.122209,0.174374,0.214424
553.00,0.035924,0.078620,0.120750,0.171503,0.211133
552.00,0.035398,0.076685,0.118185,0.167962,0.206867
551.00,0.034731,0.075715,0.115818,0.164933,0.203052
550.00,0.034012,0.074281,0.113741,0.162190,0.199466
549.00,0.033699,0.073312,0.111909,0.159244,0.195878
548.00,0.033233,0.071623,0.109866,0.155927,0.192278
547.00,0.032490,0.070703,0.108439,0.153705,0.189124
546.00,0.032164,0.069701,0.106154,0.150870,0.185481
545.00,0.031585,0.068398,0.104412,0.147810,0.181828
544.00,0.030914,0.066982,0.102322,0.145051,0.178499
543.00,0.030541,0.065885,0.100300,0.142301,0.175267
542.00,0.030093,0.064801,0.098861,0.139936,0.172103
541.00,0.029491,0.063625,0.097037,0.137371,0.169131
540.00,0.028802,0.062278,0.095060,0.134650,0.165222
539.00,0.028390,0.061151,0.093162,0.132008,0.162434
538.00,0.028121,0.060398,0.091478,0.129597,0.159303
537.00,0.027426,0.059121,0.089778,0.127162,0.156302
536.00,0.027078,0.057894,0.088166,0.125042,0.153767
535.00,0.026550,0.057158,0.086803,0.122727,0.150783
534.00,0.026028,0.056035,0.085020,0.120318,0.148035
533.00,0.025607,0.055156,0.083414,0.118094,0.145346
532.00,0.025383,0.053988,0.082108,0.116040,0.142479
531.00,0.024786,0.053095,0.080266,0.113706,0.139692
530.00,0.024277,0.052165,0.079184,0.111856,0.137563
529.00,0.024008,0.051367,0.077673,0.109671,0.134938
528.00,0.023609,0.050379,0.076204,0.107858,0.132672
527.00,0.023235,0.049464,0.074901,0.105836,0.129947
526.00,0.022814,0.048626,0.073581,0.103960,0.127765
525.00,0.022883,0.048222,0.072774,0.102434,0.125907
524.00,0.022382,0.047267,0.071334,0.100768,0.123842
523.00,0.021930,0.046825,0.070315,0.098987,0.121812
522.00,0.021619,0.045631,0.068821,0.097112,0.119519
521.00,0.020911,0.044828,0.067513,0.095195,0.117318
